,Unnamed: 0,WEEK_START,quote,author,score,country,sentiment,direction
20,263,2023-11-13,'German Chancellor Scholz has previously said that Israel’s security is Germany’s reason of state.',Olaf Scholz,1.0,DEU,-1.0,1
21,264,2023-11-13,"'At a joint news conference with Israeli Prime Minister Benjamin Netanyahu, Scholz stressed that Germany had only one place — and that is alongside Israel.'",Olaf Scholz,1.0,DEU,-1.0,1
22,265,2024-01-08,'The German government decisively and expressly rejects the accusation of genocide brought against Israel before the International Court of Justice',Steffen Hebestreit,1.0,DEU,-1.0,1
23,266,2025-01-13,'In these hours there is hope that the hostages will finally be released and the deaths in Gaza will come to an end. Everyone who bears responsibility should now ensure that this opportunity is seized.',Baerbock,0.0,DEU,1.0,0
24,267,2025-04-07,"'The cruel Hamas terror must be combated. But international humanitarian law applies, with a special obligation to protect civilian areas. How can a hospital be evacuated in less than 20 minutes?'",German Foreign Minister Annalena Baerbock,0.0,DEU,0.0,0
25,268,2025-02-03,"'German Foreign Minister Annalena Baerbock said the Gaza Strip belongs to the Palestinian people, and their expulsion would be unacceptable and contrary to international law.'",German Foreign Minister Annalena Baerbock,-1.0,DEU,-1.0,-1
26,269,2023-10-02,'Terrifying news reaches us today from #Israel. We are deeply shocked by the rocket fire from Gaza and the escalating violence. Germany condemns these attacks by Hamas and stands by Israel.',Chancellor Olaf Scholz,1.0,DEU,1.0,1
27,270,2024-08-12,'refrain from attacks that would further escalate regional tensions',"leaders of the UK, France, and Germany",0.0,DEU,0.5,0
28,425,2025-03-03,'Hamas must neither govern Gaza nor be a threat to Israel any more.',"statement by the foreign ministers of France, Germany, Italy, and Britain",1.0,ITA,-1.0,1
29,426,2024-10-07,"'The leaders of France, Italy, and Spain have also condemned Israel's actions, saying in a joint statement that they were unjustifiable and should immediately end.'","Leaders of France, Italy, and Spain",-1.0,ITA,-1.0,-1
30,427,2024-05-20,"'It was truly singular, I would say unacceptable, to equate a government legitimately elected by the people in a democracy with a terrorist organisation.'",Antonio Tajani,1.0,ITA,-1.0,1
31,428,2024-10-14,"'We defend Israel’s right to live in peace and security, but we reiterate the need for this to happen in compliance with international humanitarian law.'",Giorgia Meloni,0.0,ITA,0.5,0
32,429,2024-01-22,"'We are committed to providing humanitarian assistance to the Palestinian population, and protecting Israel’s security.'",Antonio Tajani,0.0,ITA,1.0,0
33,430,2023-10-02,'Italy said it backed “Israel’s right to defend itself” against the “brutal attack” by Hamas.',Italian government,1.0,ITA,-1.0,1
34,431,2024-10-07,'Attacks on peacekeepers are unjustifiable and should immediately come to an end.',"France, Italy, and Spain joint statement",0.0,ITA,-1.0,0
35,1129,2023-12-11,'Israel should do more to discriminate sufficiently between terrorists and civilians.',UK and German foreign ministers,0.0,DEU,-0.5,0
36,1131,2023-12-18,"'The UK and Germany have also called for a sustainable ceasefire, whilst stopping short of saying it should be immediate.'",UK and Germany representatives,0.0,DEU,-1.0,0
37,1133,2024-08-12,'Stand down its ongoing threats of a military attack against Israel and discussed the serious consequences for regional security should such an attack take place',US,0.5,USA,0.5,1
38,1135,2024-08-12,'Stand down its ongoing threats of a military attack against Israel and discussed the serious consequences for regional security should such an attack take place',Italy,0.5,ITA,0.5,1
39,1136,2024-08-12,'Stand down its ongoing threats of a military attack against Israel and discussed the serious consequences for regional security should such an attack take place',Germany,0.5,DEU,0.5,1
40,1139,2025-04-21,'We urge Israel to immediately restart a rapid and unimpeded flow of humanitarian aid to Gaza in order to meet the needs of all civilians',"joint statement by the foreign ministers of the UK, France, and Germany",0.0,DEU,1.0,0
41,1303,2025-04-07,"not found'We're trying very hard to get the hostages out. We're looking at another ceasefire, we'll see what happens.'",President Trump,0.0,USA,-1.0,0
42,1304,2025-03-17,'Every death would have been avoided had Hamas accepted the bridge proposal.',Dorothy Shea,1.0,USA,-1.0,1
43,1305,2025-03-17,'Hamas could have released hostages to extend the ceasefire but instead chose refusal and war.',"Brian Hughes, National Security Council spokesman",1.0,USA,-1.0,1
44,1306,2025-03-10,'We will be revoking the visas and/or green cards of Hamas supporters in America so they can be deported.',Secretary of State Marco Rubio,1.0,USA,-1.0,1
45,1307,2025-03-17,'We will be revoking the visas and/or green cards of Hamas supporters in America so they can be deported.',Marco Rubio,1.0,USA,-1.0,1
46,1308,2025-03-03,"'In February, Donald Trump suggested that the US should take over Gaza and that nearly two million Palestinian residents should leave, possibly for good.'",Donald Trump,1.0,USA,-1.0,1
47,1309,2025-02-17,"'Hamas can not continue as a military or government force. And as long as it stands as a force that can govern or administer or a force that can threaten by use of violence, peace becomes impossible.'",Marco Rubio,1.0,USA,-1.0,1
48,1310,2025-02-10,'The ceasefire should be scrapped if Hamas did not release all the hostages held in Gaza by midday on Saturday.',President Trump,1.0,USA,-1.0,1
49,1311,2025-02-10,'The ceasefire should be cancelled if all the hostages held in Gaza are not returned by Saturday.',US President Donald Trump,1.0,USA,-1.0,1
50,1312,2025-02-10,'Now Trump has said that if all the hostages held in Gaza are not returned by Saturday he will propose cancelling the ceasefire and all hell will break out.',Donald Trump,1.0,USA,-1.0,1
51,1313,2025-02-03,'Trump called for the removal of the territory's entire civilian population and the development of what he called The Riviera of the Middle East.',Donald Trump,1.0,USA,-1.0,1
52,1314,2025-02-03,"'The Palestinians... would have already been resettled in far safer and more beautiful communities, with new and modern homes, in the region. They would actually have a chance to be happy, safe, and free'",Donald Trump,0.5,USA,0.5,1
53,1315,2025-02-03,"'Secretary of State Marco Rubio has characterised the plan as a generous offer to rebuild Gaza, not as a hostile takeover.'",Marco Rubio,0.5,USA,-0.5,1
54,1316,2025-01-13,'US President-elect Donald Trump says there will be all hell to pay if the hostages still held in Gaza are not released by the time he returns to the White House on 20 January 2025.',Donald Trump,0.0,USA,-1.0,0
55,1317,2025-01-13,"'Biden says it will halt the fighting in Gaza, surge much needed-humanitarian assistance to Palestinian civilians, and reunite the hostages with their families.'",Joe Biden,0.0,USA,1.0,0
56,1318,2025-01-13,"'After so much pain, death and loss of life, today the guns in Gaza have gone silent.'",Joe Biden,0.0,USA,1.0,0
57,1319,2025-01-13,'If Hamas reneged on the ceasefire the US would support Israel.',Mike Waltz,1.0,USA,-1.0,1
58,1320,2025-01-13,'It would be unacceptable for Hamas to ever govern Gaza.',Mike Waltz,1.0,USA,-1.0,1
59,1321,2025-01-13,"'It would halt the fighting in Gaza, surge much needed-humanitarian assistance to Palestinian civilians, and reunite the hostages with their families.'",Joe Biden,0.0,USA,0.5,0
60,1322,2025-01-13,'It is long past time for the fighting to end and the work of building peace and security to begin.',Joe Biden,0.0,USA,1.0,0
61,1323,2025-01-13,'We are on the brink of an agreement and awaiting final word from Hamas.',Antony Blinken,0.0,USA,-1.0,0
62,1324,2025-01-13,'Israelis must decide what relationship they want with the Palestinians. That cannot be the illusion that Palestinians will accept being a non-people without national rights. Seven million Israeli Jews and some five million Palestinians are rooted in the same land. Neither is going anywhere.',Antony Blinkennot found,0.0,USA,-1.0,0
63,1325,2025-01-13,'Many months of intensive diplomacy [have brought about a ceasefire agreement between Israel and Hamas].',Joe Biden,0.0,USA,-1.0,0
64,1326,2025-01-13,"'Meanwhile Israel, he said, had pursued its military campaign past the point of destroying Hamas' military capacity and killing its leaders responsible for the 7 October attack.'",Antony Blinken,0.5,USA,-0.5,1
65,1327,2025-01-06,'All hell will break out in the Middle East if Hamas did not release all the hostages within the next 12 days.',Donald Trump,1.0,USA,-1.0,1
66,1328,2025-01-06,'All hell will break out in the Middle East if Hamas does not release the 100 hostages it is still holding before he takes office on 20 January.',Donald Trump,1.0,USA,-1.0,1
67,1329,2024-12-30,"'Trump has positioned himself as a staunch supporter of Israel, but has urged the American ally to finish its military operation in Gaza quickly.'",[contextual summary of Trump's position],0.0,USA,0.0,1
68,1330,2024-12-02,'The main stumbling block continues to be Hamas.',John Kirby,1.0,USA,-1.0,1
69,1331,2024-11-25,"'Over the coming days, the United States will make another push with Turkey, Egypt, Qatar, Israel, and others to achieve a ceasefire in Gaza with the hostages released and an end to the war without Hamas in power.'",Joe Biden,0.0,USA,1.0,0
70,1332,2024-11-18,"'whatever the ICC might imply, there is no equivalence - none - between Israel and Hamas. We will always stand with Israel against threats to its security.'",Joe Biden,1.0,USA,1.0,1
71,1333,2024-11-11,"'Israel needed to allow a minimum of 350 lorries a day into Gaza, every day, by 12 November.'",Antony Blinken,-1.0,USA,-1.0,-1
72,1334,2024-11-04,'Secretary of State Antony Blinken warned the Israeli government on 13 October that it had 30 days to “surge” humanitarian aid to Gaza or risk having some US military assistance cut off.',Secretary of State Antony Blinken,0.0,USA,-1.0,0
73,1335,2024-10-28,'She [Kamala Harris] said she would “not be silent” about the situation in Gaza and said she had expressed to him [Netanyahu] her “serious concern about the scale of human suffering” and the deaths of innocent civilians.',Kamala Harris,-1.0,USA,-1.0,-1
74,1336,2024-10-21,"'With Sinwar gone, there is a real opportunity to bring [the hostages] home and to accomplish the objective.'",Antony Blinken,1.0,USA,1.0,1
75,1337,2024-10-21,"'That objective was to reach a deal so that Israel can withdraw, so that Hamas cannot reconstitute, and so that the Palestinian people can rebuild their lives and rebuild their futures.'",Antony Blinken,0.0,USA,-1.0,0
76,1338,2024-10-28,'A senior administration official said the US had worked with Israel to encourage a targeted and proportional response.',Senior US administration official,0.0,USA,0.0,1
77,1339,2023-10-09,"'When an organization like Hamas dedicates itself for decades to kill or expel every Jew from the Middle East, you should take them at their word'",Congressman Brad Sherman,1.0,USA,-1.0,1
78,1340,2023-12-04,"'Enough is enough, you've had enough time and killed enough people and it's time for a ceasefire.'",[paraphrased anticipated statement by] American diplomats,0.0,USA,-1.0,0
79,1341,2023-10-16,"'You know our deep commitment to Israel's right, indeed, its obligation to defend itself and to defend its people'",Antony Blinken,1.0,USA,1.0,1
80,1342,2023-10-16,'Israel must affirm shared values for human life and human dignity',Antony Blinken,1.0,USA,1.0,1
81,1343,2023-10-16,'Israel is going after a group of people who have engaged in barbarism that is as consequential as the Holocaust. And - so I think Israel has to respond',Joe Biden,1.0,USA,-1.0,1
82,1344,2023-10-16,'An Israeli occupation of Gaza would be a big mistake and there should be a path to a Palestinian state',Joe Biden,0.0,USA,-1.0,0
83,1345,2023-11-20,'The deal will end the hostages' unspeakable ordeal and alleviate the suffering of innocent Palestinian families.',US president,0.0,USA,1.0,0
84,1346,2023-12-18,'Our support to Israel's right to defend itself is ironclad... and that's not going to change.',Lloyd Austin,1.0,USA,1.0,1
85,1347,2023-12-18,'It's critical... that Hamas not be able to threaten Israel from Gaza or even threaten Gaza anymore.',Lloyd Austin,1.0,USA,-1.0,1
86,1348,2023-12-18,'Israel was starting to lose global support over what he called its indiscriminate bombing of Gaza.',Joe Biden,-1.0,USA,-1.0,-1
87,1349,2023-10-30,"'All of us are committed to the protection of civilian life. All of us know the suffering that is taking place as we speak, all of us are determined to see it end.'",Antony Blinken,0.0,USA,1.0,0
88,1350,2023-10-30,"'We stand with Israel. And we will make sure Israel has what it needs to take care of its citizens, defend itself, and respond to this attack.'",Joe Biden,1.0,USA,1.0,1
89,1351,2023-10-30,"'At this moment, there is no greater mission than to be asked to strengthen the ties between the United States and the State of Israel and to work toward peace in a region that has known so much war and destruction.'",Jack Lew,0.0,USA,1.0,0
90,1352,2023-10-30,'The actions of Hamas and its allies will serve as an inspiration the likes of which we haven't seen since ISIS launched its so-called caliphate years ago',Christopher Wray,0.5,USA,0.5,1
91,1353,2023-11-13,'Far too many Palestinians have been killed' in Gaza.',Antony Blinken,-1.0,USA,-1.0,-1
92,1354,2023-10-16,"'Israel had been badly victimised - and had a right to strike back against Hamas. But [Israelis should not be] consumed by anger, urging them not to repeat the mistakes made by an enraged United States after the 9/11 attacks in 2001.'",US President Biden,1.0,USA,-1.0,1
93,1355,2023-11-13,"'condemned unequivocally the holding of hostages by Hamas, including many young children, one of whom is a three-year old American citizen toddler'",President Joe Biden,1.0,USA,-1.0,1
94,1356,2023-11-06,"'Israel was fighting an enemy embedded in the civilian population, which places innocent Palestinian people at risk but that Israel had an obligation to distinguish between terrorists and civilians and fully comply with international law.'",President Biden,1.0,USA,-1.0,1
95,1357,2023-11-13,"'US Secretary of State Antony Blinken has also resisted calls for one, saying it would allow Hamas to regroup and repeat its 7 October attacks, in which it killed 1,200 Israelis and kidnapped more than 200 others.'",Antony Blinken,1.0,USA,-1.0,1
96,1358,2023-12-25,"'This tragic development cuts deep, coming on the heels of last week's news that Judith's beloved husband, Gad Haggai, is believed to have been killed by Hamas.'",Joe Biden,0.5,USA,-0.5,1
97,1359,2023-12-25,'May her memory be a blessing and may the many hostages still in captivity be brought home safely.',Kathy Hochul,0.0,USA,1.0,0
98,1360,2024-07-29,'The only credible first step for lowering the deadly temperature in the Middle East is a ceasefire in Gaza.',[implied US Secretary of State Antony Blinken],0.0,USA,-0.5,0
99,1361,2024-01-08,'Israel would have to transition to lower-intensity operations in Gaza.',John Kirby,0.0,USA,-0.5,0
100,1362,2024-02-05,'Any military operation that Israel undertakes needs to put civilians first and foremost... and that's especially true in the case of Rafah.',Secretary of State Antony Blinken,0.0,USA,0.5,0
101,1363,2024-01-08,'They are defending themselves against a still viable threat.',John Kirby,0.5,USA,0.5,1
102,1364,2024-01-08,'The cost of war on Gaza's civilians is far too high',Antony Blinken,-0.5,USA,-0.5,-1
103,1365,2024-01-08,'Israel needed to remove barriers so more essential aid could be allowed into Gaza',Antony Blinken,-0.0,USA,0.0,-1
104,1366,2024-01-08,'Leaders in the region shared US concerns about the dire humanitarian situation on the ground',Antony Blinken,0.0,USA,0.5,0
105,1367,2024-01-08,"'They are willing not only to live with Israel but to integrate the region in a way that makes everyone secure, including Israel'",Antony Blinken,1.0,USA,1.0,1
106,1368,2024-01-08,'Israel agreeing to a clear pathway to the realisation of Palestinian political rights and a Palestinian state which he said was vital for long-term peace',Antony Blinken,0.0,USA,0.5,0
107,1369,2024-01-08,'The US and Israel agreed on a plan for the UN to conduct an assessment mission that would be the first step toward allowing Palestinians to return to the areas of northern Gaza',Antony Blinken,0.0,USA,0.0,0
108,1370,2024-01-08,"'South African claims that Israel was committing genocide, filed at the International Court of Justice, were meritless'",Antony Blinken,1.0,USA,-1.0,1
109,1371,2024-01-08,"'The daily toll on civilians in Gaza, particularly on children, is far too high'",Antony Blinken,-0.5,USA,-0.5,-1
110,1372,2024-01-08,"'More food, more water, more medicine, other essential goods need to get into Gaza'",Antony Blinken.,-0.5,USA,-0.5,-1
111,1373,2024-01-15,'There are a number of types of two-state solutions. There's a number of countries that are members of the UN that... don't have their own militaries.',Joe Biden,0.0,USA,-0.5,0
112,1374,2024-04-15,'America's support for Israel was ironclad.',Joe Biden,1.0,USA,1.0,1
113,1375,2024-05-20,"'It is imperative not only that the conflict in Gaza ends as soon as possible, but that Israel comes forward with a clear plan for how Gaza is going to be governed, secured, redeveloped.'",Secretary of State Antony Blinken,0.0,USA,0.5,0
114,1376,2024-05-20,'We believe that Palestinians must be governed by themselves.',Secretary of State Antony Blinken,-0.0,USA,0.0,-1
115,1377,2024-02-19,'President Biden's push for a United Nations vote on a temporary ceasefire as soon as practicable to halt the fighting in Gaza.',President Biden,0.0,USA,-1.0,0
116,1378,2024-03-11,"'The US Secretary of State, Antony Blinken, said he was yet to receive further details, but needed to see a plan to get civilians out of harm's way of any ground operation in Rafah and ensure they had food, shelter and medicine.'",Antony Blinken,0.0,USA,0.0,0
117,1379,2024-03-25,'A major ground offensive in Rafah would be a major mistake.',John Kirby,-0.5,USA,-0.5,-1
118,1380,2024-02-26,"'Innocent people got caught in a terrible war, unable to feed their families. And you saw the response when they tried to get aid. We need to do more and the United States will do more.'",Joe Biden,0.0,USA,-1.0,0
119,1381,2024-01-08,"'Palestinians must not be pressured into leaving Gaza, and must be allowed to return to their homes once conditions allow.'",Antony Blinken,-1.0,USA,-1.0,-1
120,1382,2024-01-08,"'Palestinian civilians must be able to return home as soon as conditions allow. They cannot, they must not be pressed to leave Gaza.'",Antony Blinken,-1.0,USA,-1.0,-1
121,1383,2024-01-08,"'This is a moment of profound tension in the region. This is a conflict that could easily metastasize, causing even more insecurity and even more suffering.'",Antony Blinken,0.0,USA,-1.0,0
122,1384,2024-02-26,"'It will be a six-week ceasefire in Gaza starting today if Hamas agrees to release the defined category of vulnerable hostages (...) the sick, the wounded, elderly and women.'",unnamed Biden administration official,0.0,USA,-1.0,0
123,1385,2024-02-26,"'In his statement on Friday, President Biden said the US would insist that Israel facilitate more trucks and more routes to get more and more people the help they need.'",President Joe Biden,0.0,USA,-1.0,0
124,1386,2024-03-04,'A temporary pier will enable a massive increase in the amount of humanitarian assistance getting into Gaza every day.',President Biden,0.0,USA,1.0,0
125,1387,2024-03-04,'Humanitarian assistance cannot be a secondary consideration or a bargaining chip.',President Biden,0.0,USA,0.0,0
126,1388,2024-03-04,"'The pier would enable a massive difference in the amount of aid reaching Gaza, but added that Israel must do its part by allowing more aid to enter into the territory and to ensure that humanitarian workers aren't caught in the crossfire.'",Joe Biden,0.0,USA,0.5,0
127,1389,2024-03-04,'Protecting and saving innocent lives has to be a priority.',President Joe Biden,0.0,USA,1.0,0
128,1390,2024-02-26,'My national security adviser tells me that we're close [to a ceasefire].',Joe Biden,0.0,USA,-1.0,0
129,1391,2024-02-19,'Gaza... cannot be a platform for terrorism. There should be no Israeli reoccupation of Gaza. The size of Gaza territory should not be reduced.',Antony Blinken,0.0,USA,-1.0,0
130,1392,2024-02-19,"'Our administration maintains a firm opposition to settlement expansion, and in our judgment this only weakens, doesn't strengthen Israel's security.'",Antony Blinken,-0.5,USA,-0.5,-1
131,1393,2024-02-26,'Significant progress had been made towards a deal last week to allow hostages to leave Gaza and let humanitarian assistance in.',John Kirby,0.0,USA,0.5,0
132,1394,2024-02-26,'Maybe that could lead to something more in terms of a better approach to end the conflict.',John Kirby,0.0,USA,0.0,0
133,1395,2024-02-26,"'Gaza and the West Bank should be reunited under a single governance structure, ultimately under a revitalised Palestinian Authority, as we all work toward a two-state solution.'",Joe Biden,0.0,USA,0.5,0
134,1396,2024-02-26,"'A reformed PA had to meet the aspirations of the Palestinian people and deliver for them, including by combating corruption, engaging civil society and supporting media freedom.'",Antony Blinken,-1.0,USA,1.0,-1
135,1397,2024-02-26,'We're not done yet. My hope is by next Monday we'll have a ceasefire.',President Biden,0.0,USA,-1.0,0
136,1398,2024-02-26,"'Ramadan's coming up and there has been an agreement by the Israelis that they would not engage in activities during Ramadan as well, in order to give us time to get all the hostages out,'",President Biden,0.0,USA,-1.0,0
137,1399,2024-02-26,"'There are too many innocent people that are being killed,'",President Biden,0.0,USA,-1.0,0
138,1400,2024-02-26,'And Israel has slowed down the attacks in Rafah. They have to. And they've made a commitment to me they're going to see to it that there is ability to evacuate significant portions of Rafah before they go and take out the remainder of Hamas.',President Biden,0.0,USA,0.5,0
139,1401,2024-08-05,"'The US hoped all parties that have a relationship with Iran impress upon Iran, the same way we've been impressing upon the government of Israel, that they shouldn't take any steps to escalate the conflict.'",US State Department spokesman Matthew Miller,0.0,USA,-1.0,0
140,1402,2024-08-05,"'We received updates on threats posed by Iran and its proxies, diplomatic efforts to de-escalate regional tensions, and preparations to support Israel should it be attacked again.'",Joe Biden,0.5,USA,0.5,1
141,1403,2024-08-05,'All parties must refrain from escalation.',Antony Blinken,0.0,USA,1.0,0
142,1404,2024-08-05,"'Escalation is not in anyone's interests. It will only lead to more conflict, more violence, more insecurity.'",Antony Blinken,0.0,USA,-1.0,0
143,1405,2024-08-05,'It is urgent that all parties make the right choices in the hours and days ahead.',Antony Blinken,0.0,USA,0.5,0
144,1406,2024-09-02,"'Make no mistake, Hamas leaders will pay for these crimes.'",Joe Biden,1.0,USA,1.0,1
145,1407,2024-05-27,'It's time for this war to end.',Joe Biden,0.0,USA,1.0,0
146,1408,2024-05-27,'Hamas says it wants a ceasefire. This deal is an opportunity to prove whether they really mean it.',Joe Biden,0.0,USA,-1.0,0
147,1409,2024-07-22,'His policies in Gaza and the West Bank and his refusal to support a two-state solution should be roundly condemned.',Bernie Sanders,-1.0,USA,-1.0,-1
148,1410,2024-07-22,'I hoped the prime minister would spend time working towards a ceasefire deal that will bring the hostages home.',Nancy Pelosi,0.0,USA,0.0,0
149,1411,2024-09-16,"'US Secretary of State Antony Blinken denied that his country - Israel’s closest ally - had known about or been involved in the explosions. Negotiating a Gaza ceasefire deal between Israel and Hamas would be the best way to reduce regional tensions, he said at a news conference with his Egyptian counterpart in Cairo. “We remain very clear about the importance of all parties avoiding any steps that could further escalate the conflict that we're trying to resolve in Gaza to see it spread to other fronts,” he added.'",Antony Blinken,0.0,USA,0.5,0
150,1412,2024-08-19,"'This is a decisive moment, probably the best, maybe the last opportunity to get the hostages home, to get a ceasefire and to put everyone on a better path to enduring peace and security.'",Antony Blinken,0.0,USA,1.0,0
151,1413,2024-09-30,"'No administration has helped Israel more than I have. None, none, none. And I think [Netanyahu] should remember that.'",Joe Biden,1.0,USA,-1.0,1
152,1414,2024-04-22,'He condemned both the antisemitic protests as well as those who don't understand what's going on with the Palestinians',President Joe Biden,0.0,USA,-1.0,0
153,1415,2024-06-03,"'Mr Blinken commended Israel for the proposal, stressing that Hamas should take the deal without delay.'",state department spokesman Matthew Miller,1.0,USA,-1.0,1
154,1416,2024-06-03,'The proposal would advance Israel’s long-term security interests.',state department spokesman Matthew Miller,0.5,USA,0.5,1
155,1417,2024-05-27,'Israel had proposed a three-stage plan to Hamas aimed at reaching a permanent ceasefire.',Joe Biden,0.0,USA,-1.0,0
156,1418,2024-05-27,"'The first phase would include a full and complete ceasefire, the withdrawal of Israeli forces from populated areas and the exchange of some hostages for Palestinian prisoners.'",Joe Biden,0.0,USA,-1.0,0
157,1419,2024-05-27,'Hamas had been so degraded that it did not have the ability to carry out another major attack on Israel.',Joe Biden,1.0,USA,-1.0,1
158,1420,2024-06-10,"'If you want a ceasefire, press Hamas to say yes.'",Antony Blinken,1.0,USA,-1.0,1
159,1421,2024-06-10,'Israeli Prime Minister Benjamin Netanyahu had reaffirmed his commitment to the Gaza ceasefire plan and the world was waiting for the Hamas response.',Antony Blinken,0.0,USA,-1.0,0
160,1422,2023-10-30,"'When I see a Palestinian child - a boy, a girl - pulled from the rubble of a collapsed building, that hits me in the gut as much as seeing a child from Israel or anywhere else.'",Antony Blinken,0.0,USA,-0.5,0
161,1423,2023-10-30,"'Two states for two peoples. Again, that is the only way to ensure lasting security for a Jewish and democratic Israel.'",Antony Blinken,0.0,USA,1.0,0
162,1424,2023-10-30,'Support a ceasefire now or don't count on us in 2024.',Rashida Tlaib,0.0,USA,-1.0,0
163,1425,2023-10-16,"'Likelihood of escalation from Iranian proxies, such as Hezbollah or Hamas, and [the US] was taking every measure to make sure we can defend Israelis and US citizens.'",Antony Blinken,1.0,USA,-1.0,1
164,1426,2023-10-16,'This [an Israeli return to an occupation of Gaza] would be a big mistake.',President Joe Biden,-1.0,USA,-1.0,-1
165,1427,2024-03-18,"'Hamas have proved again and again that they will not abide by ceasefires, will sabotage any efforts to forge a lasting peace, and will never stop attacking Israel.'",Hillary Clinton,1.0,USA,1.0,1
166,1428,2024-03-18,"'The Biden administration is correct not to seek a full ceasefire at this moment, which would give Hamas a chance to re-arm and perpetuate the cycle of violence.'",Hillary Clinton,0.0,USA,0.0,1
167,1429,2024-03-18,"'By contrast, the humanitarian pauses advocated by the Biden administration and tentatively accepted by the Israelis can save lives without rewarding Hamas.'",Hillary Clinton,0.5,USA,-0.5,1
168,1430,2024-04-08,'We are devoted to the defence of Israel. We will support Israel.',Joe Biden,1.0,USA,1.0,1
169,1431,2024-04-08,'We will help defend Israel and Iran will not succeed.',Joe Biden,1.0,USA,-1.0,1
170,1432,2024-04-22,'The US cannot support a major military operation in Rafah a day after the US and Israel held a virtual meeting to discuss an offensive.',Antony Blinken,0.0,USA,-1.0,0
171,1433,2024-03-18,'He [Netanyahu] has lost his way and argued that he stands in the way of peace between Israelis and Palestinians.',Chuck Schumer,-1.0,USA,-1.0,-1
172,1434,2024-03-18,'Israel has no stronger ally than the United States and our relationship transcends any one president or any one prime minister.',Chuck Schumer,1.0,USA,1.0,1
173,1435,2024-03-18,'I will always welcome the opportunity for the prime minister of Israel to speak to Congress in a bipartisan way.',Chuck Schumer,1.0,USA,1.0,1
174,1436,2024-04-22,"'These dangerous, appalling statements turn the stomach and should serve as a wakeup call. It is hideous to advocate for the murder of Jews.'",White House spokesman Andrew Bates,1.0,USA,-1.0,1
175,1437,2024-04-29,"'The US government respects the right of protesters demonstrating over the Israel-Gaza war. But [we] condemn antisemitic incidents that have been reported, as well as all the hate speech and the threats of violence out there.'","John Kirby, National Security Council spokesman",0.0,USA,-1.0,0
176,1438,2024-05-06,"'An enduring defeat of Hamas certainly remains the Israeli goal, and we share that goal with them.'",John Kirby,1.0,USA,1.0,1
